CD4	CD8	Monocyte	Neutrophil	naive_B_cell	NK_cell	memory_B_cell	Plasmocyte	Platelet	Macrophage
ADAM28	0.00284090909090909	0.0454706927175844	0.0788092149959854	0.00118259224219489	0.556498436802144	0.0709751875360646	0.612412177985948	0.331967213114754	0.00418410041841004	0.0491803278688525
ADAMTS6	0.0376420454545455	0.0269982238010657	0.00395281329133469	0.000354777672658467	0.0616346583296114	0.00807847663012118	0.162763466042155	0.0901639344262295	0.0209205020920502	0.00614754098360656
ADCY3	0.0371685606060606	0.0344582593250444	0.0852942993020814	0.0491958372753075	0.015631978561858	0.0141373341027121	0.0374707259953162	0.188524590163934	0.0669456066945607	0.0655737704918033
ADRB2	0.0137310606060606	0.234103019538188	0.0978321289605336	0.0332308420056764	0.0174184903974989	0.278130409694172	0.0597189695550351	0.0758196721311475	0.0209205020920502	0.0266393442622951
ADTRP	0.202651515151515	0.01101243339254	0.000926440615156568	0.000354777672658467	0.00223313979455114	0.00115406809001731	0.00585480093676815	0.102459016393443	0.00418410041841004	0.00204918032786885
AFF3	0.0253314393939394	0.00994671403197158	0.00475572849113705	0.000473036896877956	0.694059848146494	0.0138488170802077	0.620608899297424	0.0225409836065574	0.00418410041841004	0.00614754098360656
AGAP1	0.00615530303030303	0.115808170515098	0.000802915199802359	0.000709555345316935	0.000446627958910228	0.126081938834391	0.00117096018735363	0.0122950819672131	0.0251046025104603	0.00204918032786885
AGFG1	0.192234848484848	0.220959147424512	0.796059539250201	0.746215704824976	0.185797230906655	0.234852856318523	0.24824355971897	0.530737704918033	0.205020920502092	0.323770491803279
AGMAT	0.0996685606060606	0.027708703374778	0.00382928787598048	0.00177388836329234	0.0192050022331398	0.00778995960761685	0.0690866510538642	0.135245901639344	0.00836820083682008	0.00204918032786885
AHNAK	0.514204545454545	0.74955595026643	0.95627200296461	0.0112346263008515	0.381866904868245	0.719561454125793	0.644028103044497	0.784836065573771	0.0418410041841004	0.92827868852459
AIF1	0.232954545454545	0.0976909413854352	0.974800815267741	0.560548722800378	0.0200982581509602	0.0582804385458742	0.0304449648711944	0.233606557377049	0.213389121338912	0.993852459016393
AIM2	0.0262784090909091	0.0177619893428064	0.0197640664566735	0.124408703878903	0.0263510495757034	0.00346220427005193	0.509367681498829	0.358606557377049	0.00418410041841004	0.0102459016393443
AKR1C3	0.0220170454545455	0.181882770870337	0.00870854178247174	0.000827814569536424	0.00446627958910228	0.400173110213503	0.00117096018735363	0.0122950819672131	0.0334728033472803	0.0102459016393443
AKT3	0.184895833333333	0.268561278863233	0.0613921314310419	0.00319299905392621	0.118803037070121	0.244085401038661	0.156908665105386	0.0922131147540984	0.100418410041841	0.0163934426229508
ALDH3B1	0.00497159090909091	0.0191829484902309	0.459205731579272	0.122398297067171	0.00625279142474319	0.0216387766878246	0.0117096018735363	0.0225409836065574	0.0209205020920502	0.368852459016393
ALDOA	0.288589015151515	0.143872113676732	0.456241121610771	0.344252601702933	0.103171058508263	0.135891517599538	0.217798594847775	0.522540983606557	0.464435146443515	0.899590163934426
ALOX5	0.0447443181818182	0.0383658969804618	0.654190599715892	0.727294228949858	0.194283162125949	0.0427005193306405	0.32903981264637	0.157786885245902	0.0460251046025105	0.575819672131147
ANK3	0.331912878787879	0.09449378330373	0.00549688098326231	0.00248344370860927	0.0129522108083966	0.0276976341604155	0.153395784543326	0.014344262295082	0.0920502092050209	0.00204918032786885
ANKRD20A11P	0.0146780303030303	0.0571936056838366	0.000741152492125255	0.000354777672658467	0.0129522108083966	0.0992498557414887	0.00702576112412178	0.0102459016393443	0.00418410041841004	0.00204918032786885
ANO9	0.09375	0.0525754884547069	0.0013587795688963	0.000473036896877956	0.0192050022331398	0.0239469128678592	0.0515222482435597	0.0348360655737705	0.00418410041841004	0.00204918032786885
ANXA2	0.385416666666667	0.480639431616341	0.960904206040393	0.0114711447492904	0.149173738276016	0.483843046739758	0.480093676814988	0.846311475409836	0.0753138075313808	0.954918032786885
ANXA3	0.0134943181818182	0.0206039076376554	0.0444073868198382	0.80333491012299	0.0120589548905761	0.0279861511829198	0.0140515222482436	0.161885245901639	0.117154811715481	0.00614754098360656
ANXA5	0.408380681818182	0.299822380106572	0.944042986844543	0.459910122989593	0.228673514962037	0.128967109059435	0.430913348946136	0.836065573770492	0.246861924686192	0.903688524590164
AOAH	0.0518465909090909	0.435879218472469	0.661849175467852	0.353358561967833	0.0116123269316659	0.502308136180035	0.0140515222482436	0.108606557377049	0.0418410041841004	0.313524590163934
APLP2	0.168797348484848	0.282415630550622	0.944660613921314	0.566934720908231	0.520321572130415	0.359203693017888	0.265807962529274	0.397540983606557	0.158995815899582	0.733606557377049
APOL6	0.308001893939394	0.394671403197158	0.340683095546909	0.038197729422895	0.0491290754801251	0.483554529717253	0.0819672131147541	0.415983606557377	0.0334728033472803	0.151639344262295
APRT	0.819602272727273	0.679928952042629	0.79414489531221	0.0237701040681173	0.556498436802144	0.648586266589729	0.708430913348946	0.807377049180328	0.313807531380753	0.682377049180328
AQP3	0.411458333333333	0.0774422735346359	0.00222345747637576	0.000118259224219489	0.00133988387673068	0.0103866128101558	0.022248243559719	0.782786885245902	0.00418410041841004	0.00204918032786885
AREG	0.17282196969697	0.500177619893428	0.313754554999691	0.0327578051087985	0.108977221974096	0.774379688401616	0.131147540983607	0.104508196721311	0.0753138075313808	0.0430327868852459
ARG1	0.0146780303030303	0.0262877442273535	0.028966709900562	0.735927152317881	0.0107190710138455	0.0297172533179458	0.00819672131147541	0.0348360655737705	0.0251046025104603	0.00819672131147541
ARHGEF11	0.0300662878787879	0.00674955595026643	0.237662899141498	0.117313150425733	0.00178651183564091	0.00317368724754761	0.00234192037470726	0.0102459016393443	0.00418410041841004	0.0758196721311475
ARHGEF12	0.0319602272727273	0.165896980461812	0.061453894138719	0.0114711447492904	0.0473425636444841	0.186093479515291	0.0503512880562061	0.26844262295082	0.447698744769874	0.0102459016393443
ARHGEF40	0.0101799242424242	0.0127886323268206	0.312828114384535	0.447019867549669	0.00625279142474319	0.018465089440277	0.0105386416861827	0.0184426229508197	0.0167364016736402	0.159836065573771
ARHGEF5	0.0288825757575758	0.0159857904085258	0.000988203322833673	0.00366603595080416	0.0205448861098705	0.00461627236006924	0.0234192037470726	0.110655737704918	0.00418410041841004	0.00204918032786885
ARID5B	0.610795454545455	0.401420959147425	0.0997467728985239	0.075922421948912	0.536846806610094	0.308424697057126	0.635831381733021	0.639344262295082	0.0502092050209205	0.040983606557377
ARL11	0.00757575757575758	0.00817051509769094	0.257179914767463	0.195127719962157	0.086199196069674	0.0135603000577034	0.108899297423888	0.0778688524590164	0.00418410041841004	0.114754098360656
ARL4C	0.837831439393939	0.950621669626998	0.0947439935766784	0.000946073793755913	0.223313979455114	0.973167916907097	0.288056206088993	0.680327868852459	0.0334728033472803	0.00819672131147541
ARL6IP4	0.588304924242424	0.515452930728242	0.698042122166636	0.143684957426679	0.377847253238053	0.489613387189844	0.591334894613583	0.801229508196721	0.242677824267782	0.647540983606557
ARPC5L	0.405539772727273	0.629840142095915	0.372367364585263	0.0752128666035951	0.192943278249218	0.704847085978073	0.464871194379391	0.809426229508197	0.0878661087866109	0.163934426229508
ARPIN	0.00142045454545455	0.00106571936056838	0.11901673769378	0.000591296121097446	0.000446627958910228	0.00346220427005193	0.00234192037470726	0.0102459016393443	0.00418410041841004	0.00204918032786885
ASAH1	0.2890625	0.350976909413854	0.945031190167377	0.824858088930937	0.341670388566324	0.437103289094057	0.482435597189696	0.690573770491803	0.627615062761506	0.735655737704918
ASCL2	0.00994318181818182	0.230905861456483	0.177629547279353	0.0131267738883633	0.00759267530147387	0.327466820542412	0.0245901639344262	0.00819672131147541	0.00836820083682008	0.0799180327868853
ASGR1	0.00189393939393939	0.00710479573712256	0.689333580384164	0.00260170293282876	0.000446627958910228	0.0129832660126947	0.00117096018735363	0.0204918032786885	0.0167364016736402	0.516393442622951
ASGR2	0.00142045454545455	0.00923623445825933	0.416280649743685	0.00165562913907285	0.000893255917820456	0.0121177149451818	0.00234192037470726	0.0184426229508197	0.00836820083682008	0.165983606557377
ATP5MC2	0.890861742424242	0.84404973357016	0.950281020319931	0.186849574266793	0.74497543546226	0.816214656664743	0.899297423887588	0.862704918032787	0.422594142259414	0.977459016393443
ATP5PO	0.681581439393939	0.52753108348135	0.769130998702983	0.0895222327341533	0.476552032157213	0.451240623196769	0.634660421545667	0.815573770491803	0.230125523012552	0.276639344262295
ATP6V0A1	0.0442708333333333	0.0280639431616341	0.433821258723982	0.157994323557237	0.203662349263064	0.0253894979803808	0.179156908665105	0.555327868852459	0.125523012552301	0.165983606557377
ATP6V0C	0.0748106060606061	0.0326820603907638	0.0486690136495584	0.227057710501419	0.0241179097811523	0.0302942873629544	0.0526932084309134	0.151639344262295	0.167364016736402	0.760245901639344
ATXN1	0.230587121212121	0.275666074600355	0.376814279538015	0.366130558183538	0.0205448861098705	0.19532602423543	0.180327868852459	0.60655737704918	0.0376569037656904	0.133196721311475
ATXN2	0.215198863636364	0.241918294849023	0.362732382187635	0.0936613055818354	0.192050022331398	0.242354298903635	0.266978922716628	0.422131147540984	0.0878661087866109	0.110655737704918
B3GNT7	0.000710227272727273	0.0230905861456483	0.00154406769192761	0.000236518448438978	0.0142920946851273	0.0735718407386036	0.0362997658079625	0.00819672131147541	0.00418410041841004	0.00204918032786885
BACH2	0.178977272727273	0.0813499111900533	0.00203816935334445	0.000827814569536424	0.511389012952211	0.0600115406809002	0.305620608899297	0.110655737704918	0.00418410041841004	0.00204918032786885
BANK1	0.00284090909090909	0.00959147424511545	0.0558334877401025	0.00153736991485336	0.809736489504243	0.0129832660126947	0.946135831381733	0.344262295081967	0.276150627615063	0.0266393442622951
BCAS4	0.250710227272727	0.13854351687389	0.0143289481810883	0.00342951750236518	0.277802590442162	0.100403923831506	0.535128805620609	0.122950819672131	0.142259414225941	0.00409836065573771
BCL11B	0.808712121212121	0.528241563055062	0.00203816935334445	0.000946073793755913	0.00491290754801251	0.341892671667628	0.0117096018735363	0.0327868852459016	0.0125523012552301	0.00204918032786885
BEX4	0.291193181818182	0.250799289520426	0.106417145327651	0.00863292336802271	0.209468512728897	0.318234275822274	0.179156908665105	0.0758196721311475	0.225941422594142	0.040983606557377
BLK	0.0134943181818182	0.00710479573712256	0.00450867766042863	0.000354777672658467	0.564537740062528	0.00663589151759954	0.789227166276347	0.342213114754098	0.00836820083682008	0.00204918032786885
BLNK	0.000473484848484848	0.0024866785079929	0.0160583039960472	0.000236518448438978	0.359535506922733	0.00317368724754761	0.441451990632318	0.586065573770492	0.00418410041841004	0.014344262295082
BNIP3L	0.310842803030303	0.301598579040853	0.786177506021864	0.455771050141911	0.325145154086646	0.301211771494518	0.317330210772834	0.434426229508197	0.376569037656904	0.506147540983607
BOK	0.000946969696969697	0.0607460035523979	0.000864677907479464	0.000118259224219489	0.000446627958910228	0.1266589728794	0.00117096018735363	0.00204918032786885	0.00418410041841004	0.00204918032786885
BRD4	0.423295454545455	0.473179396092362	0.655734667407819	0.444772942289499	0.434122376060741	0.457587997691864	0.553864168618267	0.688524590163934	0.196652719665272	0.372950819672131
BRI3	0.48342803030303	0.371936056838366	0.965783459946884	0.887298959318827	0.39124609200536	0.353144835545297	0.411007025761124	0.586065573770492	0.251046025104602	0.616803278688525
BTG1	0.981060606060606	0.990763765541741	0.917114446297326	0.905747398297067	0.994193836534167	0.994229659549913	0.988290398126464	0.790983606557377	0.259414225941423	0.73155737704918
BTN3A1	0.265151515151515	0.33392539964476	0.142363041195726	0.0229422894985809	0.0835194283162126	0.326889786497403	0.217798594847775	0.403688524590164	0.0292887029288703	0.0983606557377049
C12orf75	0.21875	0.608170515097691	0.0521277252794763	0.0156102175969726	0.127288968289415	0.652914021927294	0.220140515222482	0.711065573770492	0.690376569037657	0.00204918032786885
C15orf39	0.0421401515151515	0.0763765541740675	0.410289667099006	0.20837275307474	0.0183117463153193	0.122908251586844	0.0480093676814988	0.465163934426229	0.0543933054393305	0.186475409836066
C16orf54	0.414299242424242	0.342806394316163	0.234574763757643	0.311731315042573	0.205448861098705	0.289671090594345	0.257611241217799	0.524590163934426	0.0460251046025105	0.0655737704918033
C1QBP	0.620265151515151	0.39538188277087	0.515595083688469	0.00922421948912015	0.309066547565878	0.328332371609925	0.594847775175644	0.825819672131147	0.150627615062762	0.342213114754098
C20orf27	0.166666666666667	0.107282415630551	0.570563893521092	0.0378429517502365	0.0732469852612774	0.085401038661281	0.168618266978923	0.434426229508197	0.096234309623431	0.512295081967213
C2orf88	0.0241477272727273	0.0440497335701599	0.0563893521091965	0.0221144749290445	0.0379633765073694	0.0432775533756492	0.0398126463700234	0.413934426229508	0.690376569037657	0.00204918032786885
C3AR1	0.0201231060606061	0.0397868561278863	0.501574949045766	0.293637653736991	0.000446627958910228	0.0476053087132141	0.00117096018735363	0.0368852459016393	0.0167364016736402	0.161885245901639
C5AR1	0.0087594696969697	0.0273534635879218	0.779383608177383	0.787369914853359	0.000893255917820456	0.0383727639930756	0.00117096018735363	0.0512295081967213	0.0292887029288703	0.418032786885246
C5AR2	0.0087594696969697	0.0131438721136767	0.253721203137546	0.285122989593188	0.00491290754801251	0.0155799192152337	0.0117096018735363	0.0327868852459016	0.0167364016736402	0.141393442622951
C8orf88	0.0123106060606061	0.0106571936056838	0.00314989809153233	0.0189214758751183	0.0174184903974989	0.00288517022504328	0.00702576112412178	0.00614754098360656	0.0376569037656904	0.00204918032786885
CA4	0.00402462121212121	0.0159857904085258	0.0152553887962448	0.444891201513718	0.00267976775346137	0.0190421234852856	0.00117096018735363	0.0204918032786885	0.0125523012552301	0.00204918032786885
CADM1	0.0111268939393939	0.0273534635879218	0.00166759310728182	0.00177388836329234	0.000446627958910228	0.00750144258511252	0.00468384074941452	0.331967213114754	0.00418410041841004	0.00204918032786885
CALM3	0.590435606060606	0.50550621669627	0.759990117966772	0.304162724692526	0.238499330058062	0.475476053087132	0.336065573770492	0.793032786885246	0.916317991631799	0.614754098360656
CAMK1	0.0120738636363636	0.0202486678507993	0.306651843616824	0.00189214758751183	0.00669941938365342	0.0363531448355453	0.00702576112412178	0.0204918032786885	0.192468619246862	0.331967213114754
CAMK4	0.520833333333333	0.152397868561279	0.00154406769192761	0.000354777672658467	0.0107190710138455	0.0100980957876515	0.0480093676814988	0.170081967213115	0.00418410041841004	0.00204918032786885
CAPG	0.117897727272727	0.0557726465364121	0.801556420233463	0.333491012298959	0.167485484591335	0.0620311598384305	0.451990632318501	0.340163934426229	0.0251046025104603	0.672131147540984
CAPN2	0.408143939393939	0.465364120781528	0.71607683280835	0.00839640491958373	0.0817329164805717	0.457587997691864	0.269320843091335	0.700819672131147	0.418410041841004	0.465163934426229
CAPZA2	0.364346590909091	0.363055062166963	0.840713976900747	0.633987701040681	0.265743635551586	0.360934795152914	0.378220140515222	0.655737704918033	0.711297071129707	0.510245901639344
CAST	0.575994318181818	0.718650088809947	0.955654375887839	0.577932828760643	0.498436802143814	0.785631852279284	0.626463700234192	0.653688524590164	0.154811715481172	0.831967213114754
CCDC141	0.0712594696969697	0.0316163410301954	0.00179111852263603	0.000354777672658467	0.0562751228226887	0.00952106174264282	0.160421545667447	0.0245901639344262	0.00418410041841004	0.00204918032786885
CCDC50	0.0419034090909091	0.0809946714031972	0.20264344388858	0.000946073793755913	0.267976775346137	0.0926139642238892	0.567915690866511	0.69672131147541	0.0251046025104603	0.069672131147541
CCDC88C	0.416666666666667	0.572646536412078	0.301649064294979	0.0366603595080416	0.241179097811523	0.55597230236584	0.327868852459016	0.694672131147541	0.217573221757322	0.10655737704918
CCL3	0.0104166666666667	0.266785079928952	0.0586745722932493	0.00473036896877956	0.0263510495757034	0.436526255049048	0.0199063231850117	0.184426229508197	0.0209205020920502	0.00204918032786885
CCL4	0.0265151515151515	0.653996447602131	0.0249521339015502	0.00780510879848628	0.0357302367128182	0.746393537218696	0.0351288056206089	0.0655737704918033	0.0251046025104603	0.00204918032786885
CCL5	0.205492424242424	0.862877442273535	0.17447964918782	0.0689451277199622	0.109423849933006	0.838718984420081	0.185011709601874	0.295081967213115	0.774058577405858	0.00204918032786885
CCNG1	0.379971590909091	0.218117229129663	0.246433203631647	0.0305108798486282	0.19517641804377	0.188401615695326	0.302107728337237	0.487704918032787	0.560669456066946	0.120901639344262
CCR4	0.0769412878787879	0.0181172291296625	0.00382928787598048	0.00307473982970672	0.00223313979455114	0.00346220427005193	0.00468384074941452	0.0163934426229508	0.112970711297071	0.00204918032786885
CCR7	0.603219696969697	0.0863232682060391	0.00154406769192761	0.000236518448438978	0.364895042429656	0.0124062319676861	0.305620608899297	0.0225409836065574	0.00418410041841004	0.00204918032786885
CD1D	0.00307765151515152	0.00497335701598579	0.433388919770243	0.021286660359508	0.0366234926306387	0.00778995960761685	0.094847775175644	0.055327868852459	0.0125523012552301	0.23155737704918
CD2	0.759943181818182	0.755239786856128	0.020072879995059	0.000709555345316935	0.00223313979455114	0.513848817080208	0.00234192037470726	0.0348360655737705	0.0125523012552301	0.00819672131147541
CD22	0.00236742424242424	0.00603907637655417	0.0081526774133778	0.00130085146641438	0.637784725323805	0.00721292556260819	0.707259953161593	0.0348360655737705	0.00418410041841004	0.00204918032786885
CD226	0.245975378787879	0.374067495559503	0.0428633191279106	0.00946073793755913	0.0214381420276909	0.409117137911137	0.0269320843091335	0.108606557377049	0.602510460251046	0.00409836065573771
CD24	0.0132575757575758	0.0234458259325044	0.017725897103329	0.18744087038789	0.418937025457794	0.0297172533179458	0.607728337236534	0.0799180327868853	0.0209205020920502	0.00204918032786885
CD244	0.0113636363636364	0.165186500888099	0.109814094249892	0.00130085146641438	0.00401965163019205	0.247259088286209	0.00234192037470726	0.0184426229508197	0.0167364016736402	0.0594262295081967
CD247	0.594223484848485	0.774422735346359	0.00957321968995121	0.00118259224219489	0.0183117463153193	0.914310444316215	0.0562060889929742	0.0676229508196721	0.0167364016736402	0.00204918032786885
CD27	0.606060606060606	0.185079928952043	0.0053733555679081	0.000946073793755913	0.0317105850826262	0.0245239469128679	0.464871194379391	0.799180327868853	0.00418410041841004	0.00204918032786885
CD28	0.339251893939394	0.0674955595026643	0.00117349144586499	0.000709555345316935	0.000446627958910228	0.00317368724754761	0.00117096018735363	0.0163934426229508	0.0251046025104603	0.00204918032786885
CD300E	0.00307765151515152	0.00426287744227353	0.540238404051634	0.00425733207190161	0.00580616346583296	0.0124062319676861	0.00585480093676815	0.0184426229508197	0.00418410041841004	0.51844262295082
CD33	0.00402462121212121	0.00674955595026643	0.5942807732691	0.00603122043519395	0.00133988387673068	0.0187536064627813	0.00585480093676815	0.0225409836065574	0.00836820083682008	0.430327868852459
CD36	0.00733901515151515	0.0227353463587922	0.745537644370329	0.00733207190160833	0.0102724430549352	0.0320253894979804	0.0140515222482436	0.055327868852459	0.460251046025105	0.444672131147541
CD3D	0.900331439393939	0.549200710479574	0.00623803347538756	0.00248344370860927	0.00714604734256364	0.0631852279284478	0.0152224824355972	0.0471311475409836	0.00836820083682008	0.00204918032786885
CD3E	0.906960227272727	0.96056838365897	0.00728799950589834	0.00248344370860927	0.0116123269316659	0.202538949798038	0.0117096018735363	0.0901639344262295	0.0125523012552301	0.00204918032786885
CD3G	0.891808712121212	0.52753108348135	0.00185288123031314	0.000709555345316935	0.00535953550692273	0.0744373918061166	0.00702576112412178	0.0163934426229508	0.00418410041841004	0.00204918032786885
CD4	0.360558712121212	0.0532859680284192	0.362114755110864	0.00141911069063387	0.00223313979455114	0.00980957876514714	0.00117096018735363	0.0225409836065574	0.00418410041841004	0.293032786885246
CD40	0.0146780303030303	0.0227353463587922	0.0541658946328207	0.000236518448438978	0.363108530594015	0.033467974610502	0.451990632318501	0.217213114754098	0.0878661087866109	0.00614754098360656
CD40LG	0.244554924242424	0.0383658969804618	0.00111172873818788	0.000709555345316935	0.00178651183564091	0.00461627236006924	0.00117096018735363	0.00204918032786885	0.0836820083682008	0.00204918032786885
CD5	0.317234848484849	0.150976909413854	0.000988203322833673	0.000354777672658467	0.00401965163019205	0.00490478938257357	0.00702576112412178	0.00204918032786885	0.00418410041841004	0.00204918032786885
CD52	0.973011363636364	0.888454706927176	0.586251621271077	0.0170293282876064	0.991514068780706	0.6933064050779	0.988290398126464	0.80327868852459	0.0460251046025105	0.379098360655738
CD6	0.457623106060606	0.26145648312611	0.00166759310728182	0.000591296121097446	0.00937918713711478	0.0822273514137334	0.0187353629976581	0.00614754098360656	0.0167364016736402	0.00204918032786885
CD68	0.00142045454545455	0.00390763765541741	0.34321536656167	0.0167928098391675	0.00178651183564091	0.00577034045008656	0.0117096018735363	0.0430327868852459	0.292887029288703	0.5
CD69	0.720407196969697	0.769804618117229	0.019517015625965	0.000354777672658467	0.670388566324252	0.799480669359492	0.540983606557377	0.198770491803279	0.0836820083682008	0.00204918032786885
CD70	0.0281723484848485	0.024866785079929	0.000555864369093941	0.000118259224219489	0.00759267530147387	0.00461627236006924	0.175644028103044	0.243852459016393	0.00836820083682008	0.00204918032786885
CD74	0.417376893939394	0.497690941385435	0.943857698721512	0.0934247871333964	0.997766860205449	0.43133294864397	1	0.899590163934426	0.225941422594142	0.983606557377049
CD79A	0.0378787878787879	0.0433392539964476	0.0159965412883701	0.00366603595080416	0.985261277355962	0.0450086555106751	0.976580796252927	0.752049180327869	0.0167364016736402	0.00204918032786885
CD79B	0.154356060606061	0.123978685612789	0.0752269779507134	0.0010643330179754	0.891022778025904	0.176283900750144	0.913348946135831	0.772540983606557	0.0209205020920502	0.055327868852459
CD81	0.526278409090909	0.754529307282416	0.458464579087147	0.00567644276253548	0.637784725323805	0.788805539526832	0.75175644028103	0.782786885245902	0.121338912133891	0.168032786885246
CD83	0.0224905303030303	0.0408525754884547	0.0570069791859675	0.00614947965941343	0.456900401965163	0.0377957299480669	0.384074941451991	0.0368852459016393	0.00418410041841004	0.00204918032786885
CD84	0.431581439393939	0.2550621669627	0.37755543203014	0.00579470198675497	0.128628852166146	0.0652048470859781	0.259953161592506	0.069672131147541	0.435146443514644	0.184426229508197
CD8A	0.107244318181818	0.489165186500888	0.00148230498425051	0.000354777672658467	0.00267976775346137	0.130121177149452	0.00351288056206089	0.00819672131147541	0.00418410041841004	0.00204918032786885
CD8B	0.131392045454545	0.341385435168739	0.00123525415354209	0.000236518448438978	0.00312639571237159	0.0173110213502597	0.00468384074941452	0.00819672131147541	0.00418410041841004	0.00204918032786885
CD9	0.0355113636363636	0.0394316163410302	0.0905441294546353	0.0598391674550615	0.0870924519874944	0.035199076745528	0.0187353629976581	0.0676229508196721	0.757322175732218	0.0245901639344262
CD96	0.409564393939394	0.52753108348135	0.0168612191958495	0.0102885525070956	0.15765966949531	0.509521061742643	0.115925058548009	0.0471311475409836	0.175732217573222	0.00204918032786885
CDK1	0.0106534090909091	0.00959147424511545	0.00296460996850102	0.00638599810785241	0.000446627958910228	0.00230813618003462	0.00234192037470726	0.311475409836066	0.0251046025104603	0.00204918032786885
CDK17	0.131155303030303	0.225222024866785	0.0993144339447841	0.081480605487228	0.100044662795891	0.26803231390652	0.163934426229508	0.557377049180328	0.129707112970711	0.0225409836065574
CDK2AP1	0.0492424242424242	0.0600355239786856	0.314619232907171	0.0482497634815516	0.029477445288075	0.0591459896133872	0.0843091334894614	0.188524590163934	0.648535564853556	0.108606557377049
CDKN2A	0.0362215909090909	0.0436944937833037	0.0231610153789142	0.000473036896877956	0.0125055828494864	0.0196191575302943	0.040983606557377	0.463114754098361	0.00418410041841004	0.00614754098360656
CDKN3	0.0205965909090909	0.0227353463587922	0.0141436600580569	0.0075685903500473	0.000893255917820456	0.00721292556260819	0.00351288056206089	0.450819672131148	0.0753138075313808	0.00204918032786885
CDV3	0.621922348484849	0.652220248667851	0.872707059477488	0.428571428571429	0.468959356855739	0.647720715522216	0.653395784543325	0.881147540983607	0.267782426778243	0.30327868852459
CEBPB	0.379971590909091	0.495914742451155	0.916496819220555	0.890610217596973	0.179097811523001	0.520196191575303	0.299765807962529	0.512295081967213	0.108786610878661	0.512295081967213
CEBPD	0.0487689393939394	0.371225577264654	0.967821629300229	0.91662724692526	0.0227780259044216	0.608482400461627	0.0257611241217799	0.260245901639344	0.0836820083682008	0.680327868852459
CENPM	0.0681818181818182	0.0397868561278863	0.00166759310728182	0.00484862819299905	0.0665475658776239	0.0118291979226774	0.0831381733021077	0.485655737704918	0.0376569037656904	0.00204918032786885
CEP55	0.0087594696969697	0.0113676731793961	0.00438515224507442	0.00567644276253548	0.000446627958910228	0.00432775533756492	0.00117096018735363	0.295081967213115	0.0251046025104603	0.00204918032786885
CERCAM	0.00142045454545455	0.0113676731793961	0.00691742325983571	0.000946073793755913	0.00223313979455114	0.0305828043854587	0.00936768149882904	0.0573770491803279	0.00836820083682008	0.00409836065573771
