CD4	CD8	Erythrocyte	Macrophage	memory_B_cell	Monocyte	naive_B_cell	Neutrophil	NK_cell	Plasmocyte	Platelet
AFF3	0.0752840909	0.0156305506	0.0039107211	0.0081967213	8.5644028103	0.0171700327	7.5962483251	0.0008278146	0.0233698788	0.0553278689	0
AGAP1	0.0674715909	0.178330373	0.2625906143	0	0	0.0015440677	0	0.0008278146	0.3242931333	0.012295082	0.0543933054
AGFG1	1.1875	0.69840142	0.06371614	0.41188525	0.32669789	4.93113458	0.8834301	1.94075213	0.42498557	2.55327869	2.07112971
AGMAT	0.243844697	0.1040852575	0.0001907669	0.0020491803	0.0831381733	0.0050027793	0.0209915141	0.0054399243	0.0077899596	0.1516393443	0.0083682008
AHNAK	13.39583333	10.93428064	0.11264784	3.97336066	4.80093677	11.78710395	1.42161679	0.32698675	4.39411425	9.22540984	0.07112971
AIF1	1.1311553	0.3637655	0.1645364	9.397541	0.1580796	27.0329813	0.1147834	1.9608562	0.4379688	1.0471311	0.4476987
AIM2	2.035037879	0.020959147	0.001907669	0.010245902	11.398126464	0.074794639	2.038410004	0.165444655	0.004327755	0.817622951	0.0041841
AKR1C3	1.661695076	2.25008881	0.004864556	0.010245902	0.004683841	0.016181829	0.007592675	0.001655629	2.890652048	0.014344262	0.037656904
AKT3	0.43063447	0.359857904	0.004673789	0.016393443	0.18969555	0.077573961	0.304600268	0.004020814	0.443162147	0.129098361	0.192468619
ALDH3B1	0.009232955	0.022380107	0.009824494	0.477459016	0.014051522	1.300537336	0.010272443	0.195482498	0.028274668	0.043032787	0.025104603
ALDOA	8.25804924	2.69413854	0.03739031	3.56352459	2.56674473	1.29658452	0.71639125	1.01419111	0.85314484	2.73155738	25.27196653
ALOX5	0.68655303	0.05364121	0.1728348	0.91598361	1.79156909	3.34957693	2.29030817	1.63067644	0.06289671	0.24180328	0.10041841
ANK3	3.026988636	1.520781528	0.003910721	0.004098361	0.955503513	0.01049966	0.014738723	0.00307474	0.035776111	0.018442623	0.142259414
ANKRD20A11P	0.1361268939	0.0937833037	0.0005723006	0	0.0070257611	0.0013587796	0.619026351	0.0007095553	0.2504327755	0.012295082	0.0041841004
ANKRD44.IT1	1.251420455	0.198223801	0.001144601	0.020491803	2.347775176	0.51232166	1.969629299	0.073084201	0.104154645	0.229508197	0.0041841
ANO9	2.0703125	0.2877442274	0.0035291873	0.0040983607	0.0550351288	0.0026557964	0.0196516302	0.0005912961	0.3058280439	0.0389344262	0
ANXA2	55.98248106	20.58721137	0.09004197	4.28483607	23.28103044	18.65771107	2.88476999	0.17916272	7.78101558	11.37295082	0.15899582
ANXA3	0.028645833	0.035523979	0.022510492	0.006147541	0.021077283	0.070038911	0.018758374	2.231906339	0.052221581	0.280737705	0.29707113
ANXA5	23.04119318	6.64191829	0.06323922	2.79303279	6.48594848	9.31140757	3.97409558	0.82012772	1.87045586	6.54508197	0.35983264
AOAH	3.29285038	6.54706927	0.03386112	0.42827869	0.03278689	3.9173615	0.02635105	0.52235099	9.04673976	0.17008197	0.05439331
APLP2	2.0421402	2.9776199	0.8856353	1.6618852	5.6135831	12.2129578	7.6632425	1.4829707	3.0703982	0.9057377	0.292887
APOBR	0.24455492	0.21065719	0.02022129	0.35245902	0.02459016	1.96565993	0.01250558	0.86412015	0.68118869	0.13319672	0.05439331
APOL6	2.77367424	2.47779751	0.01068295	0.17213115	0.10655738	0.81959113	0.06699419	0.07651372	1.67080208	0.94057377	0.05857741
APRT	35.21235795	12.51225577	0.09824494	1.30122951	13.03161593	3.40991909	5.71951764	0.03311258	3.74437392	7.00614754	0.9623431
AQP3	19.850142045	0.514387211	0.024799695	0.00204918	0.022248244	0.010005559	0.001786512	0.001892148	0.012694749	8.467213115	0.008368201
AREG	2.30516098	3.68987567	0.05160244	0.06352459	0.470726	1.81792354	0.54399285	0.07237465	8.27351414	0.29713115	0.35983264
ARG1	0.185369318	0.135701599	0.400610454	0.008196721	0.024590164	0.627015008	0.121929433	2.25614948	0.084824005	0.112704918	0.041841004
ARHGEF11	0.21780303	0.061456483	0.003243037	0.075819672	0.003512881	0.679266259	0.040196516	0.147232734	0.004616272	0.016393443	0.016736402
ARHGEF12	1.37973485	0.27033748	1.77432278	0.0102459	0.36416862	0.10956704	0.05493524	0.01501892	0.24639354	0.43442623	3.60669456
ARHGEF40	0.11032197	0.01811723	0.03424266	0.18442623	0.14754098	1.09011179	0.01518535	0.87393567	0.02942874	0.04918033	0.0376569
ARHGEF5	0.1590909091	0.0170515098	0.0004769172	0.0020491803	0.0245901639	0.0012970169	0.021438142	0.0037842952	0.0046162724	0.131147541	0
ARID5B	12.43489583	3.15772647	0.0115414	0.04713115	8.64285714	0.55061454	5.19338991	0.09401608	1.17570687	2.35040984	0.22594142
ARL11	0.011363636	0.011012433	0.004196871	0.12704918	1.418032787	0.509851152	1.397498883	0.237228004	0.016733987	0.090163934	0.008368201
ARL4C	14.909090909	17.611722913	0.057706982	0.016393443	1.010538642	0.320919029	0.707458687	0.005085147	11.044143104	4.049180328	0.10460251
ARL6IP4	1.42140152	0.91083481	0.03605494	1.14959016	1.07845433	1.71848558	0.64180438	0.16272469	0.9474899	4.51639344	0.63598326
ARPC5L	10.10700758	7.62735346	0.02832888	0.17827869	5.0058548	0.83114076	0.94908441	0.08763009	3.60646278	6.45081967	0.16317992
ARPIN	0.001657197	0.0017761989	0.0007630675	0.0020491803	0.0035128806	0.1607065654	0.0008932559	0.001064333	0.0051933064	0.0163934426	0.0041841004
ASAH1	3.9706439	3.0351687	0.1765548	1.5430328	5.4625293	8.6176888	2.2487718	2.4495033	2.0672245	2.2438525	125.2384937
ASCL2	0.029829545	0.356305506	0.006295307	0.084016393	0.026932084	0.284170218	0.008485931	0.013954588	0.529140219	0.014344262	0.008368201
ASGR1	0.009232955	0.01740675	0.010873712	0.81352459	0.003512881	2.769810388	0.010719071	0.005085147	0.032602424	0.05942623	0.025104603
ASGR2	0.003314394	0.023445826	0.012209081	0.204918033	0.009367681	2.482799086	0.010719071	0.048368023	0.025389498	0.049180328	0.012552301
ATP5MC2	30.8241	9.835524	0.102728	4.907787	19.498829	9.886851	6.505136	0.275544	4.386324	12.307377	2.046025
ATP5PO	18.1181345	8.1388988	0.1611026	0.329918	7.9566745	3.4923723	5.7588209	0.111755	2.4705713	7.5594262	3.5564854
ATP6V0A1	3.27296402	0.03801066	0.02680275	0.19467213	0.39344262	1.75758137	1.34301027	0.30014191	0.03317946	1.23770492	0.18410042
ATP6V0C	0.42045455	0.10692718	0.58689432	1.98360656	0.17681499	0.14532765	0.24877177	0.79623936	0.09001731	0.59016393	4.0209205
ATXN2	2.74573864	1.12539964	0.01621519	0.12909836	1.2704918	1.02489037	1.12103618	0.15267266	0.72475476	0.73565574	0.23012552
B3GNT7	0.0009469697	0.0262877442	0.0006676841	0	0.556206089	0.0021616948	0.1750781599	0.0002365184	0.5326024235	0.0102459016	0
BANK1	0.016098485	0.021669627	0.010396795	0.028688525	31.551522248	0.07893274	13.807056722	0.003192999	0.030871321	0.803278689	0.564853556
BCAS4	1.693655303	0.545293073	0.005436856	0.008196721	2.795081967	0.041566302	0.757481018	0.004848628	0.266589729	0.165983607	5.941422594
BCL11A	0.01325758	0.01847247	0.31209462	0.06762295	21.07728337	0.35433265	22.9888343	0.01785714	0.01327178	0.20696721	0.0167364
BCL11B	6.578598485	1.895204263	0.035578024	0.010245902	0.048009368	0.016120067	0.012058955	0.002246925	1.043277553	0.067622951	0.271966527
BEND5	0.2007575758	0.0085257549	0.0010492179	0.0020491803	0.149882904	0.0012352542	1.1639124609	0.0001182592	0.0072129256	0.1557377049	0
BEX4	23.861032197	1.118294849	0.014879817	0.047131148	1.395784543	0.18590575	1.977221974	0.009697256	0.861511829	0.108606557	7.025104603
BHLHE41	0.0011837121	0.0007104796	0.0004769172	0.0020491803	0.8091334895	0.0057439318	0.0723537293	0.0009460738	0.0017311021	1.8790983607	0
BLK	0.1354167	0.009946714	0.008107593	0.004098361	14.18852	0.008523254	3.914247	0.0008278146	0.01269475	0.7172131	0.008368201
BLNK	0.022253788	0.002841918	0.001239985	0.014344262	12.632318501	0.038231116	18.735596248	0.001182592	0.004616272	1.536885246	0
BLOC1S4	2.34753788	1.88667851	0.01087371	0.11065574	1.99648712	0.25403002	0.68914694	0.03689688	0.97489902	0.4897541	0.08786611
BMP2K	0.0641572	0.04227353	0.31476536	0.15368852	0.70257611	0.5246742	0.18445735	0.09543519	0.06924409	0.37090164	4.35146444
BNIP3L	6.758286	3.9637655	105.3583556	0.7192623	2.8313817	4.8610957	4.3796338	0.8179991	2.1728217	1.1434426	71.58159
BOK	0.0009469697	0.0667850799	0.0020030523	0	0	0.003582237	0.000446628	0.0002365184	0.3182342758	0.0040983607	0
BRD4	4.4344223	2.4664298	1.7004006	0.477459	3.0526932	2.4937928	2.6310853	0.743141	1.5473168	2.7315574	0.3849372
BRI3	2.3245739	1.3584369	0.1390691	1.0635246	1.1276347	12.6344883	1.1384547	2.9526963	0.9091171	1.5717213	4.4895397
BTG1	41.5653409	27.6376554	0.338802	1.7643443	57.4648712	6.8979062	31.3514962	3.7259934	20.4391229	5.0963115	0.8200837
BTN3A1	6.000473485	4.382238011	0.007058375	0.112704918	1.718969555	0.637947008	0.818669049	0.037015137	2.491344489	0.649590164	0.029288703
C12orf75	12.5696	18.02806	0.05913773	0.008196721	3.180328	0.0785004	0.2728897	0.02045885	6.260531	5.977459	160.6025
C15orf39	0.27888258	0.17122558	0.01650134	0.2295082	0.05152225	1.55296152	0.01965163	0.28441343	0.32256203	0.8852459	0.07531381
C16orf54	11.85179924	3.09342806	0.01163678	0.06762295	5.61826698	0.41665123	1.12996874	0.4025544	1.77611079	1.23155738	0.07949791
C1QBP	22.29427083	8.75666075	0.67865319	0.44672131	7.67681499	1.3203014	5.54533274	0.01738411	1.4033468	11.04303279	0.69874477
C20orf27	2.07836174	0.95133215	0.03433804	0.85040984	0.20960187	1.57229325	0.49531041	0.06137654	0.39440277	0.95286885	0.14225941
C2orf88	0.07670455	0.060746	1.82354063	0.00204918	0.05386417	0.18158236	0.32246539	0.02850047	0.08828621	0.88934426	24.89958159
C3AR1	2.092566288	1.103019538	0.014498283	0.202868852	0.010538642	1.433821259	0.004912908	0.4634579	0.257934218	0.090163934	0.020920502
C5AR1	0.20904356	0.0714032	0.0409195	0.7295082	0.02810304	4.00030881	0.01295221	2.33538316	0.10126947	0.23565574	0.09205021
C5AR2	0.012310606	0.015275311	0.009538344	0.174180328	0.093676815	0.765363474	0.004912908	0.381267739	0.087709175	0.051229508	0.029288703
C8orf88	0.221117424	0.012078153	0.043304082	0	0.007025761	0.00457044	0.018758374	0.019512772	0.003750721	0.006147541	0.050209205
CA4	0.00686553	0.020248668	0.014784433	0	0.005854801	0.0223581	0.003126396	0.796121097	0.027409117	0.049180328	0.029288703
CADM1	0.2644412879	0.4017761989	0.0006676841	0	0.0070257611	0.0027793218	0	0.0022469253	0.0438545874	1.0491803279	0
CALM3	8.8297822	2.4579041	0.3356543	1.0778689	0.5398126	3.5447471	2.1054042	0.4270341	1.7481246	6.4487705	298.167364
CAMK1	0.295454545	0.501953819	0.004006105	0.430327869	0.008196721	0.710147613	0.009825815	0.002838221	0.110213503	0.022540984	0.589958159
CAMK4	11.69342	1.898046	0.004196871	0.004098361	0.06674473	0.005373356	0.01339884	0.0005912961	0.02394691	0.295082	0.0041841
CAPG	4.28811553	0.27708703	0.04931324	1.38114754	4.72599532	4.3207955	2.25502456	0.55688269	0.30669359	0.75614754	0.09205021
CAPN2	16.8688447	9.90479574	0.04196871	0.6557377	3.13114754	3.87350997	0.57302367	0.11423841	2.93364108	3.59631148	71.38075314
CAPZA2	15.9138258	2.2280639	0.1021557	0.8401639	4.7903981	4.8501019	6.2282269	1.1339877	2.2172533	2.1188525	66.1715481
CAST	10.01609848	6.1026643	0.07277757	2.04508197	8.32318501	9.62584152	2.95176418	1.45683538	3.93768032	2.59016393	0.23849372
CCDC141	0.615530303	0.0507992895	0.0010492179	0.0020491803	2.2740046838	0.0035204743	0.3014738723	0.0007095553	0.0118291979	0.0348360656	0
CCDC50	0.606770833	0.242984014	0.00610454	0.077868852	4.302107728	0.47878451	1.077713265	0.006740776	0.193883439	3.053278689	0.037656904
CCDC6	0.38612689	0.2330373	0.10282335	0.18032787	3.19672131	0.59242789	0.70790531	0.01844844	0.68176572	1.23770492	0.14644351
CCDC88C	9.3967803	3.81278863	0.01974437	0.1147541	2.47189696	2.02223457	1.69450648	0.04245506	2.8473745	2.11065574	0.35564854
CCL3	0.084043561	1.239431616	0.026135063	0	0.040983607	0.151627447	0.179544439	0.009460738	4.330063474	0.602459016	0.050209205
CCL4	1.37831439	11.89129663	0.02956887	0.00204918	0.05035129	0.0733741	0.63555159	0.01821192	6.08972879	0.13114754	0.0460251
CCL5	11.54995265	60.81349911	0.21327738	0.02868852	0.25058548	0.4311037	0.17061188	0.11932356	24.44893249	0.66393443	71.15899582
CCNG1	19.27438447	3.42877442	0.69648989	0.12909836	7.15456674	1.06448027	3.02903082	0.03535951	0.79342181	1.18647541	67.0376569
CCR4	1.046638258	0.023090586	0.001430752	0	0.004683841	0.004879254	0.00223314	0.00307474	0.003750721	0.018442623	0.259414226
CCR7	71.15246	4.445115	0.005913773	0.008196721	11.13817	0.007967389	13.69317	0.0009460738	0.6615695	0.03483607	0
CD1C	0.0033143939	0.0003552398	0.0005723006	0.0245901639	8.2611241218	0.0504601322	0.3720410898	0.0007095553	0.0017311021	0.0245901639	0.0125523013
CD1D	0.006392045	0.011722913	0.004864556	0.278688525	0.358313817	1.594774875	0.310853059	0.077341533	0.014714368	0.088114754	0.016736402
CD2	53.093039773	24.410657194	0.012781381	0.016393443	0.010538642	0.068247792	0.011165699	0.002601703	6.260530871	0.098360656	0.029288703
CD22	0.006392045	0.008525755	0.005246089	0.004098361	17.49882904	0.014575999	17.284948638	0.002010407	0.015291402	0.077868852	0.0041841
CD226	2.412879	1.545293	0.03805799	0.008196721	0.3911007	0.07392996	0.02992407	0.01395459	1.195903	0.1639344	106.2385
CD24	0.03243371	0.05932504	0.03433804	0	7.82903981	0.04440739	13.37740063	1.37582781	0.09347952	0.11680328	0.0251046
CD244	0.74313447	4.638365897	0.004578405	0.06352459	0.003512881	0.202952257	0.048682448	0.00153737	4.851413733	0.024590164	0.016736402
CD247	24.129734848	13.354529307	0.035673407	0.004098361	0.196721311	0.025940337	0.049129075	0.00461211	13.510098096	0.120901639	0.033472803
CD27	36.662168561	7.420248668	0.014116749	0.006147541	16.149882904	0.011487864	0.047789192	0.002838221	0.409405655	7.852459016	0
CD28	7.569839015	0.657193606	0.002289203	0.004098361	0.00234192	0.003705762	0	0.001182592	0.005193306	0.038934426	0.037656904
CD300E	0.012784091	0.013499112	0.010110645	0.93442623	0.015222482	3.308566488	0.010272443	0.254966887	0.019330641	0.040983607	0.008368201
CD33	0.010416667	0.014209591	0.009919878	0.573770492	0.012880562	2.14711877	0.007592675	0.020577105	0.032313907	0.051229508	0.012552301
CD36	0.02391098	0.05044405	1.25324304	0.71721311	0.02693208	5.14001606	0.02322465	0.02944655	0.07068667	0.11885246	102.63598326
CD3D	82.051136364	35.161278863	0.022510492	0.004098361	0.037470726	0.024952134	0.086645824	0.017975402	2.247259088	0.147540984	0.012552301
CD3E	9.671401515	5.424511545	0.033956505	0.018442623	0.026932084	0.030819591	0.027244305	0.005085147	0.733121754	0.151639344	0.016736402
CD3G	95.368607955	33.678863233	0.007821442	0.016393443	0.011709602	0.014699524	0.092451987	0.001419111	2.161281016	0.077868852	0.0041841
CD4	26.332149621	2.898401421	0.0144029	0.389344262	0.004683841	1.809585572	0.004912908	0.088694418	0.113964224	0.026639344	0
CD40	0.1036931818	0.4053285968	0.0030522701	0.0081967213	8.9601873536	0.0917793836	3.9200535954	0.0004730369	0.346508944	0.3237704918	1.719665272
CD40LG	5.189157197	0.2994671403	0.000858451	0.0020491803	0	0.006546847	0.0022331398	0.0007095553	0.012694749	0.0020491803	0.1129707113
CD5	14.51515	6.871758	0.001907669	0.004098361	0.008196721	0.005620406	0.08485931	0.0003547777	0.754472	0.01844262	0
CD52	176.49952652	63.32753108	0.18304082	0.82991803	144.98594848	4.91217343	86.02947745	0.07604068	12.41402193	10.26229508	0.10878661
CD6	15.678030303	7.612078153	0.003910721	0.004098361	0.475409836	0.006052745	0.010719071	0.006622517	0.280727063	0.018442623	0.016736402
CD68	0.008996212	0.006394316	0.005913773	0.899590164	0.073770492	1.172256192	0.096471639	0.04718543	0.008944028	0.055327869	9.778242678
CD69	161.4366	58.76057	0.07783289	0.0204918	36.99766	0.04632203	22.26574	0.007805109	30.65291	0.5389344	0.7949791
CD70	1.6264204545	0.3122557726	0.0006676841	0	2.7119437939	0.0009264406	0.0080393033	0.0004730369	0.0057703405	0.6147540984	0.0125523013
CD72	0.712358	0.850444	0.00333842	0.01639344	9.822014	0.06318325	16.749	0.0004730369	0.4342181	0.02868852	0.0041841
CD74	58.6676136	33.7246892	0.2157573	13.7213115	1356.412178	27.948984	695.2742296	0.18886	8.2631275	22.6516393	36.6276151
CD79A	0.393465909	0.076731794	0.044162533	0.014344262	57.386416862	0.049595454	38.776686021	0.006385998	0.092325447	8.602459016	0.029288703
CD79B	3.306344697	1.945293073	0.023464327	0.073770492	33.832552693	0.349391637	40.178651184	0.002838221	0.815349106	4.362704918	0.025104603
CD81	4.56652462	4.59680284	0.04912247	0.20901639	9.82786885	2.09616454	3.49397052	0.01123463	3.25908829	5.53483607	0.20083682
CD82	15.327178	2.40746	0.0409195	0.1598361	13.1241218	1.2518683	2.3233586	0.6236991	0.5605886	0.2827869	120.748954
CD83	0.149147727	0.16660746	0.00581839	0.004098361	14.867681499	0.177197208	5.983474766	0.009224219	0.047893826	0.06352459	0.0041841
CD84	8.81321023	5.1651865	0.01812285	0.22540984	3.31147541	1.19899944	1.51674855	0.9596736	0.53231391	0.1045082	144.23430962
CD8A	6.763968	21.00391	0.00553224	0.00204918	0.008196721	0.009449694	0.006699419	0.0005912961	1.561166	0.02663934	0.0041841
CD8B	9.549479	11.54245	0.003719954	0.00204918	0.004683841	0.008646779	0.008485931	0.0004730369	1.484132	0.0102459	0
CD9	0.94862689	0.05115453	0.04597482	0.02663934	0.56908665	0.19535544	2.34926306	0.07296594	0.04818234	0.15163934	397.50209205
CD96	16.11813447	9.39431616	0.01392598	0.00204918	0.82669789	0.03100488	2.94774453	0.01147114	4.26283901	0.06967213	16.89539749
CDK1	0.0565814394	0.0962699822	0.0065814575	0.0020491803	0.0023419204	0.004446915	0.0008932559	0.0107615894	0.0363531448	1.5225409836	0.0292887029
CDK14	0.006392045	0.005683837	0.070297596	0.006147541	0.967213115	0.155147922	1.43099598	0.117076632	0.006924409	1.606557377	0.142259414
CDK17	2.15696023	1.71367673	0.01087371	0.02254098	0.43676815	0.42239516	1.22956677	0.09354305	1.21494518	1.24590164	0.29288703
CDK2AP1	0.18773674	0.18081705	0.02422739	0.11680328	0.16393443	0.99462664	0.12058955	0.05593661	0.08799769	0.27254098	15.9790795
CDKN2A	1.1609848485	0.058259325	0.0013353682	0.006147541	1.3957845433	0.0303254895	0.0169718624	0.0008278146	0.0923254472	1.0368852459	0.0083682008
CDKN3	0.312026515	1.452220249	0.210892789	0.00204918	0.004683841	0.017231795	0.020544886	0.010170293	0.042700519	2.303278689	0.347280335
CDV3	28.3008996	11.3062167	0.3090424	0.3995902	10.4566745	4.1730591	8.7422957	0.6291391	5.6901327	12.8954918	0.9874477
CEBPB	0.8948864	0.9218472	0.2111789	0.8237705	0.4601874	6.8562164	0.2934346	4.5436377	1.0415465	1.2356557	0.2343096
CEBPD	0.23035038	1.0589698	0.19191148	1.39139344	0.11241218	13.71138287	0.07146047	6.24562441	2.14974033	0.81967213	0.36820084
CENPM	2.307054924	0.779040853	0.007630675	0	1.606557377	0.003026373	0.172398392	0.006622517	0.13762262	2.084016393	0.079497908
CEP55	0.033617424	0.084902309	0.000858451	0.00204918	0	0.007843864	0.000446628	0.008041627	0.011252164	0.99795082	0.092050209
CERCAM	0.0037878788	0.1648312611	0.0003815338	0.0040983607	0.0526932084	0.0694830461	0.0022331398	0.0009460738	0.2256203116	0.0696721311	0.0083682008
CES1	0.020833333	0.089165187	0.015929035	0.014344262	0.016393443	0.984868137	0.009379187	0.020931883	0.042412002	0.239754098	0.033472803
CFD	0.25804924	0.04547069	0.03758108	1.1352459	0.04098361	3.52887407	0.01652523	1.58715705	0.06462781	0.26434426	0.05439331
CFH	0.3544034091	0.2632326821	0.0004769172	0.0040983607	0	0.0085232537	0.000446628	0.0009460738	0.0302942874	0	0.0167364017
CFL1P1	0.5087594697	0.0298401421	0	0	0.0152224824	0.0016058304	0.0093791871	0.0008278146	0.0049047894	0.0368852459	0
CFP	0.162168561	0.003197158	0.00333842	0.743852459	0.00117096	0.520474338	0.00223314	0.19973983	0.005193306	0.012295082	0.012552301
CHMP7	5.230823864	0.572646536	0.007249142	0.098360656	4.642857143	0.227842629	4.279142474	0.023888363	0.215522216	0.733606557	0.025104603
CHRM3.AS2	6.131628788	0.53321492	0.002861503	0	0.005854801	0.010437898	0.002679768	0.001419111	0.090305828	0.004098361	0.025104603
CHST2	0.20620265	0.2625222	0.07354063	0.03483607	0.21194379	0.10561423	0.0973649	0.03110218	1.3508367	1.08196721	0.18828452
CIITA	0.08049242	0.06216696	0.00553224	0.1557377	8.72716628	0.74504354	6.20723537	0.01466414	0.03404501	0.02663934	0
CISH	12.669507576	2.392539964	0.001716902	0.018442623	0.007025761	0.070965351	0.001786512	0.012771996	0.027697634	0.010245902	0.058577406
CKAP4	0.98768939	0.069627	0.02489508	0.13934426	0.18618267	1.48767834	0.04064314	1.53240303	0.07991922	3.93442623	0.07949791
CLCF1	0.0177556818	0.3154529307	0.0003815338	0.0163934426	2.1569086651	0.0888765363	0.3014738723	0.0013008515	0.0248124639	0	0
CLEC12A	0.02982955	0.05399645	0.02546738	0.58401639	0.04449649	4.0831326	0.0303707	1.5968543	0.07991922	0.14754098	8.43933054
CLEC4D	0.009469697	0.01705151	0.005341473	0.06352459	0.010538642	0.465876104	0.004019652	0.476229896	0.021927294	0.055327869	0.025104603
CLEC4E	0.02391098	0.04937833	0.02718428	0.60860656	0.03512881	2.92637885	0.01741849	2.06161306	0.06087709	0.16188525	0.10041841
CLEC7A	0.03811553	0.06039076	0.06447921	1.27254098	0.05269321	10.13093694	0.0303707	1.13599811	0.08684362	0.23155738	0.08368201
CLECL1	0.0980113636	0.5150976909	0.0020030523	0.0040983607	4.2927400468	0.0352047434	0.0410897722	0.0005912961	0.0106751298	0.8831967213	0
CLIC3	0.464725379	3.628774423	0.040633346	0	0.021077283	0.022049287	0.023224654	0.004375591	9.408828621	0.131147541	0.066945607
CLU	1.1593277	0.8561279	0.3918352	0.5942623	0.3583138	4.9803595	0.6601161	0.1960738	0.5750144	0.4098361	1736.6987448
CMC1	3.50804924	8.39253996	0.02451354	0.125	0.6557377	0.46167624	0.31487271	0.03701514	6.01211771	1.11680328	0.14644351
CMTM5	0.04166667	0.05364121	0.06810378	0.03278689	0.03629977	0.14081897	0.04332291	0.04068117	0.06347374	0.10040984	77.41004184
CMTM7	5.953125	1.37335702	0.02003052	0.52254098	1.96487119	2.05317769	1.25770433	0.2256386	0.08020773	0.79098361	0.07949791
CMTM8	0.5582386364	0.2170515098	0.0005723006	0.012295082	0.0011709602	0.067815453	0.0040196516	0.0061494797	0.0086555107	0.0327868852	0.0041841004
CNFN	0.017282197	0.006749556	0.002193819	0.008196721	1.18501171	0.019022914	0.381420277	0.002956481	0.015291402	0.022540984	0.0041841
CNTLN	0.005445076	0.009236234	0.007726059	0.100409836	0.014051522	1.505960101	0.006252791	0.094843898	0.015868436	0.098360656	0.058577406
COBLL1	0.005445076	0.012433393	0.006772224	0.00204918	6.717798595	0.016799456	3.682000893	0.002246925	0.01644547	4.100409836	0.008368201
COILP1	0.003077652	0.005683837	9.538344e-05	0	0	0.01741708	0.02188477	0.003547777	0.001442585	0.006147541	0
COL4A3	0.0187026515	0.0046181172	0.0003815338	0	2.7845433255	0.0017911185	0.0482358196	0.0004730369	0.0014425851	0.2418032787	0
COL4A4	0.0868844697	0.0305506217	0.0004769172	0	1.4800936768	0.0128466432	0.0915587316	0.0016556291	0.0112521639	0.6045081967	0
COL6A2	0.1576704545	3.5087033748	0.0039107211	0	0.0046838407	0.0051880674	0.0098258151	0.0007095553	0.2668782458	0.0163934426	0
COLGALT2	0.0018939394	0.0507992895	0.0002861503	0	0.0011709602	0.0046322031	0.0017865118	0.0004730369	0.0476053087	0.0020491803	0
