CD4	CD8	MemoryB	Monocyte	NaiveB	Neutrophil	NK	Plasmocyte
CD300A	0	0	0	0	0	0	1	0
CD320	0	0	0	0	0	0	1	0
CD33	0	1	0	1	0	0	0	0
CD3D	1	1	0	0	0	0	1	0
CD3E	0	1	0	0	0	0	1	0
CD3G	1	1	0	0	0	0	1	0
CD47	0	0	0	0	0	0	1	0
CD5	0	1	0	0	0	0	1	0
CD52	0	0	1	0	0	0	0	0
CD69	0	0	0	0	0	0	1	0
CD74	0	0	1	1	0	0	0	0
CD79A	0	0	1	0	0	0	0	0
CD80	0	0	1	0	0	0	0	0
CD84	0	1	0	0	0	0	1	0
CD86	0	0	1	0	1	0	0	0
CD8A	1	1	0	0	0	0	1	0
CD8B	1	1	0	0	0	0	1	0
CD93	0	0	0	1	0	0	0	0
CDC40	0	0	0	0	0	0	1	0
CEBPD	0	0	0	1	0	0	0	0
CEMIP2	0	0	0	0	0	0	1	0
CEP128	0	0	0	0	0	0	0	1
CHCHD10	0	0	0	1	0	0	0	0
CHORDC1	0	1	0	0	0	0	0	0
CISD3	0	1	0	0	0	0	0	0
CLEC2B	0	0	0	0	0	0	1	0
CLEC7A	0	0	0	1	0	0	0	0
CLECL1	0	0	1	0	1	0	0	0
CMAS	0	0	0	1	0	0	0	0
CMC1	0	1	0	0	0	0	0	0
CMTM6	0	0	0	1	0	0	0	0
CNOT2	0	0	0	0	0	0	1	0
COCH	0	0	1	0	1	0	0	0
COL19A1	0	0	1	0	1	0	0	0
COPS9	0	0	0	0	0	0	1	0
CORO1A	0	0	0	0	0	0	1	0
CORO1C	0	0	0	1	0	0	0	0
COTL1	0	1	0	1	0	0	0	0
COX7C	1	0	0	0	0	0	0	0
CPVL	0	0	0	1	0	0	0	0
CRBN	0	0	0	0	0	0	1	0
CREG1	0	0	0	1	0	0	0	0
CRIP1	0	1	1	0	0	0	0	0
CSF3R	0	0	0	1	0	0	0	0
CSK	0	0	0	0	0	0	1	0
CST3	0	0	0	1	0	0	0	0
CST7	0	0	0	0	0	0	1	0
CTLA4	1	0	0	0	0	0	0	0
CTNNA1	0	0	0	1	0	0	0	0
CTSB	0	0	0	1	0	0	0	0
CTSD	0	0	0	1	0	0	0	0
CXXC5	0	1	0	0	0	0	0	0
CYBB	0	0	0	1	0	0	0	0
CYLD	0	0	0	0	0	0	1	0
CYTH4	0	1	0	0	0	0	0	0
DCTN3	0	0	0	0	0	0	1	0
DDX17	0	0	0	0	0	0	1	0
DDX39B	0	0	0	0	0	0	1	0
DDX3X	0	0	0	0	0	0	1	0
DDX5	0	0	0	0	0	0	1	0
DDX52	0	1	0	0	0	0	0	0
DENND5B	0	0	0	0	0	0	0	1
DENND6A	0	0	0	0	0	0	1	0
DENR	0	1	0	0	0	0	1	0
DHX36	0	0	0	0	0	0	1	0
DHX38	0	0	0	0	0	0	1	0
DIP2A	1	1	0	0	0	0	0	0
DLG1	0	0	0	0	0	0	1	0
DMTF1	0	1	0	0	0	0	0	0
DNTTIP2	0	0	0	0	0	0	1	0
DPP8	0	1	0	0	0	0	0	0
DUSP2	1	1	0	0	0	0	0	0
DUSP22	0	0	0	1	0	0	0	0
DUSP4	1	0	0	0	0	0	0	0
DYRK2	0	0	0	0	0	0	1	0
EDF1	0	0	0	0	0	0	1	0
EEF1A1	0	0	0	0	0	0	1	0
EFCAB14	0	0	0	0	0	0	1	0
EFHD2	1	1	0	0	0	0	0	0
EIF2AK3.DT	0	0	1	0	1	0	0	0
EIF4H	0	0	0	0	0	0	1	0
ELF2	0	0	0	0	0	0	1	0
EMB	0	0	0	1	0	0	0	0
EMC4	0	0	0	0	0	0	1	0
EMC6	0	0	0	0	0	0	1	0
EML4	0	1	0	0	0	0	0	0
ENSA	0	1	0	0	0	0	1	0
EPM2AIP1	0	1	0	0	0	0	0	0
EPRS1	0	0	0	0	0	0	1	0
ETNK1	0	0	0	0	0	0	1	0
ETS2	0	0	0	1	0	0	0	0
EXOC4	0	0	0	0	0	0	1	0
FAM177A1	0	1	0	0	0	0	0	0
FAM210B	0	0	0	1	0	0	0	0
FAM214A	0	1	0	0	0	0	1	0
FCER1G	0	0	0	1	0	0	0	0
FEZ1	0	0	0	0	0	0	1	0
FGFBP2	0	0	0	1	0	0	0	0
FGR	0	0	0	1	0	0	0	0
FLNA	0	1	0	0	0	0	0	0
FLT3	0	0	0	1	0	0	0	0
FMNL1	0	0	0	0	0	0	1	0
FNBP1L	0	0	1	0	1	0	0	0
FOSL2	0	0	0	0	0	0	1	0
G3BP1	0	0	0	0	0	0	1	0
GAA	0	0	0	1	0	0	0	0
GAB1	0	0	1	0	1	0	0	0
GAB3	0	0	1	0	1	0	0	0
GABPB1.AS1	0	1	0	0	0	0	0	0
GABPB1.IT1	0	0	0	0	0	0	1	0
GALNT1	0	1	0	0	0	0	0	0
GAPDH	0	0	0	1	0	0	0	0
GAS5	1	1	0	0	0	0	0	0
GATA3	0	1	0	0	0	0	0	0
GCA	0	0	0	1	0	0	0	0
GIHCG	0	0	1	0	1	0	0	0
GLG1	0	1	0	0	0	0	0	0
GLIPR1	0	0	0	1	0	0	0	0
GNG2	0	0	0	0	0	0	1	0
GNLY	1	1	0	1	0	0	1	0
GNPTAB	0	0	0	0	0	0	1	0
GOLGA4	0	0	0	0	0	0	1	0
GOLGB1	0	0	0	0	0	0	1	0
GPBAR1	0	0	0	0	0	0	1	0
GPR15	0	0	0	0	0	0	0	1
GPR153	0	1	0	0	0	0	0	0
GPR183	0	0	1	0	0	0	0	0
GPR34	0	1	0	0	0	0	0	0
GPRC5D	0	0	0	0	0	0	0	1
GPSM3	0	0	0	1	0	0	0	0
GRN	0	0	1	0	1	0	0	0
GSAP	0	1	0	0	0	0	0	0
GSDMD	0	0	0	0	0	0	1	0
GSTP1	0	0	0	1	0	0	0	0
GZMA	0	1	0	1	0	0	1	0
GZMB	1	0	0	0	0	0	1	0
GZMH	1	0	0	0	0	0	0	0
GZMM	0	0	0	0	0	0	1	0
H1.4	0	0	0	0	0	0	1	0
H3.3A	0	0	0	1	0	0	0	0
H3.3B	0	0	0	0	0	0	1	0
HAVCR2	0	0	0	0	0	0	1	0
HCK	0	0	0	1	0	0	0	0
HCST	0	1	0	0	0	0	0	0
HERC1	0	0	0	0	0	0	1	0
HLA.B	0	0	0	0	0	0	1	0
HLA.DMA	0	0	0	1	0	0	0	0
HLA.DPA1	0	0	1	0	0	0	0	0
HLA.DPB1	0	0	1	0	0	0	0	0
HLA.DQB1	0	0	1	0	0	0	0	0
HLA.DRA	0	0	1	1	0	0	0	0
HMOX1	0	0	0	1	0	0	0	0
HMOX2	0	1	0	0	0	0	0	0
HNMT	0	0	0	1	0	0	0	0
HNRNPA0	0	0	0	0	0	0	1	0
HNRNPA1	0	0	0	0	0	0	1	0
HNRNPA3	0	0	0	0	0	0	1	0
HNRNPH1	0	0	0	0	0	0	1	0
HNRNPU	0	0	0	0	0	0	1	0
HOOK3	0	0	0	1	0	0	0	0
HOPX	1	1	0	0	0	0	1	0
HSP90B1	0	0	0	0	0	0	0	1
HSPA5	0	1	0	0	0	0	0	1
HUWE1	0	0	0	0	0	0	1	0
HYOU1	0	0	0	0	0	0	0	1
IDS	0	0	0	0	0	0	1	0
IER2	0	0	0	0	0	0	1	0
IFI30	0	0	0	1	0	0	0	0
IFITM3	0	0	0	1	0	0	0	0
IGHD	0	1	1	0	1	0	0	0
IGHG1	0	0	1	0	1	0	0	0
IGHG2	0	0	1	0	1	0	0	0
IGHG4	0	0	1	0	1	0	0	0
IGHM	0	0	0	0	0	0	0	1
IGLL5	0	0	0	0	0	0	0	1
IL10RA	0	0	0	0	0	0	1	0
IL18RAP	0	0	0	0	0	0	1	0
IL2RB	0	0	0	1	0	0	0	0
IL32	1	1	0	0	0	0	1	0
IL7R	1	1	0	0	0	0	1	0
ILF3.DT	0	1	0	0	0	0	0	0
ING3	0	1	0	0	0	0	0	0
INO80D	0	0	0	0	0	0	1	0
INPP4B	1	1	0	0	0	0	0	0
INTS6	0	0	0	0	0	0	1	0
IQGAP1	0	0	0	0	0	0	1	0
IRAG2	0	0	0	0	0	0	1	0
IRAK4	0	0	0	0	0	0	1	0
IRF1	0	0	0	0	0	0	1	0
IRF4	0	0	0	0	0	0	0	1
ITGAX	0	0	0	0	0	0	1	0
ITGB2	0	0	0	0	0	0	1	0
ITM2C	0	0	0	0	0	0	0	1
JAK1	0	0	0	0	0	0	1	0
JAM3	0	0	1	0	1	0	0	0
JCHAIN	0	0	0	0	0	0	0	1
JDP2	0	1	0	0	0	0	0	0
JPT1	0	0	1	0	1	0	0	0
JUN	0	0	0	0	0	0	1	0
KANSL1	0	0	0	0	0	0	1	0
KCNN3	0	0	0	0	0	0	0	1
KCNQ5	1	1	0	0	0	0	0	0
KDM6A	0	0	0	0	0	0	1	0
KIF13B	0	0	0	0	0	0	1	0
KLF12	0	1	0	1	0	0	0	0
KLRB1	0	0	0	1	0	0	1	0
KLRC2	0	0	0	0	0	0	1	0
KLRD1	1	0	0	1	0	0	0	0
KPNA4	0	0	0	0	0	0	1	0
LAMTOR4	0	0	0	1	0	0	0	0
LAPTM5	0	0	0	1	0	0	0	0
LARS1	0	0	0	0	0	0	1	0
LBH	0	0	0	1	0	0	0	0
LCK	0	0	0	0	0	0	1	0
LCP2	0	0	0	0	0	0	1	0
LDHB	1	0	0	0	0	0	0	0
LEF1	1	0	0	0	0	0	0	0
LEPROTL1	1	0	0	0	0	0	0	0
LGALS1	0	0	1	0	1	0	0	0
LGALS9	0	0	0	1	0	0	0	0
LINC00653	0	0	1	0	1	0	0	0
LINC00861	0	0	0	1	0	0	0	0
LINC02352	0	1	0	0	0	0	1	0
LINC02397	0	1	0	0	0	0	0	0
LINC02446	1	1	0	0	0	0	0	0
LITAF	0	1	0	0	0	0	0	0
LMAN2	0	1	0	0	0	0	0	0
LPAR5	0	0	1	0	1	0	0	0
LRP1	0	0	0	1	0	0	0	0
LSM14A	0	0	0	0	0	0	1	0
LTA4H	0	0	0	1	0	0	0	0
LTB	1	1	0	0	0	0	0	0
LY86	0	1	1	0	0	0	0	0
LYAR	0	1	0	0	0	0	0	0
LYRM2	0	1	0	0	0	0	0	0
LYZ	0	0	0	1	0	0	0	0
MAF	1	0	0	0	0	0	0	0
MAFB	0	0	0	1	0	0	0	0
MAN1A2	0	0	0	0	0	0	1	0
MANBA	0	0	0	1	0	0	0	0
MAPRE2	0	0	0	0	0	0	1	0
MARCHF1	0	0	0	1	0	1	0	0
MARCKS	0	0	1	0	0	0	0	0
MARVELD1	0	0	0	1	0	0	0	0
MBP	0	1	0	0	0	0	0	0
MCOLN2	0	0	1	0	1	0	0	0
MCTP2	0	0	1	0	1	0	1	0
MDH1	0	1	0	0	0	0	0	0
MED10	0	1	0	0	0	0	0	0
MFSD1	0	0	0	1	0	0	0	0
MGST1	0	0	0	1	0	0	0	0
MIER1	0	0	0	0	0	0	1	0
MIR22HG	0	0	0	1	0	0	0	0
MORC3	0	0	0	0	0	0	1	0
MPHOSPH10	0	1	0	0	0	0	0	0
MPP1	0	0	0	0	0	0	1	0
MRPS12	0	0	0	0	0	0	1	0
MS4A1	0	0	1	0	0	0	0	0
MS4A6A	0	0	0	1	0	0	0	0
MTF1	0	0	0	1	0	0	0	0
MTF2	0	1	0	0	0	0	0	0
MTSS1	0	0	0	1	0	0	0	0
MYADM	0	0	1	0	1	0	0	0
MYBL1	0	0	0	1	0	0	0	0
MYL12A	0	0	0	0	0	0	1	0
MYLIP	0	1	0	0	0	0	1	0
MYO1D	0	0	0	0	0	0	0	1
MYOF	0	0	0	1	0	0	0	0
MYOM2	0	0	0	0	0	0	1	0
MZB1	0	0	0	0	0	0	0	1
N4BP1	0	0	0	0	0	0	1	0
NAPSB	0	0	1	0	0	0	0	0
NCALD	0	0	0	0	0	0	1	0
NCF2	0	0	0	1	0	0	0	0
NCL	0	0	0	0	0	0	1	0
NCR1	0	1	0	0	0	0	1	0
NDUFB8	0	0	0	0	0	0	1	0
NDUFC2	0	1	0	0	0	0	0	0
NDUFV1	0	0	0	0	0	0	1	0
NEK4	0	0	0	1	0	0	0	0
NETO1	0	0	1	0	1	0	0	0
NFAM1	0	0	0	1	0	0	0	0
NFKB1	0	1	0	0	0	0	0	0
NKG7	0	1	0	1	0	0	1	0
NLN	0	0	0	1	0	0	0	0
NLRC3	0	0	0	1	0	0	0	0
NLRC5	0	1	0	0	0	0	0	0
NMUR1	0	0	0	1	0	0	0	0
NPC1	0	0	0	0	0	0	1	0
NPC2	0	0	0	1	0	0	0	0
NPIPB6	0	0	0	0	0	0	0	1
NR3C1	0	0	0	0	0	0	1	0
NSA2	0	1	0	0	0	0	0	0
NSG1	0	1	0	0	0	0	1	0
NT5E	0	0	1	0	1	0	0	0
NUGGC	0	0	0	0	0	0	0	1
NUP133	0	0	1	0	1	0	0	0
OSBP2	0	0	0	0	0	0	1	0
OSBPL8	0	0	0	0	0	0	1	0
OSCAR	0	1	0	0	0	0	0	0
OSER1.DT	0	0	1	0	1	0	0	0
OSTF1	0	0	0	0	0	0	1	0
OTUD5	0	0	0	0	0	0	1	0
OTUD6B.AS1	0	1	0	0	0	0	0	0
OXCT2	0	0	0	0	0	0	0	1
OXNAD1	0	1	0	0	0	0	1	0
PARM1	0	0	0	0	0	0	0	1
PARP1	0	0	0	0	0	0	1	0
PARP14	0	0	0	0	0	0	1	0
PARP8	1	1	0	0	0	0	0	0
PARVB	0	0	0	1	0	0	0	0
PAX5	0	0	1	0	0	0	0	0
PAXBP1	0	0	0	0	0	0	1	0
PCED1B.AS1	0	0	0	0	0	0	1	0
PCM1	0	0	0	0	0	0	1	0
PCYT1A	0	0	0	1	0	0	0	0
PDCD7	0	1	0	0	0	0	0	0
PDIA4	0	0	0	0	0	0	0	1
PEBP1	0	1	0	0	0	0	0	0
PFDN1	0	0	0	0	0	0	1	0
PFKFB2	0	0	1	0	1	0	0	0
PFN1	0	0	0	1	0	0	0	0
PGRMC2	0	1	0	0	0	0	0	0
PHF3	0	0	0	0	0	0	1	0
PIK3C2A	0	0	0	0	0	0	1	0
PIK3R1	0	1	0	0	0	0	0	0
PLAAT4	0	0	0	0	0	0	1	0
PLEK	0	0	0	1	0	0	0	0
PLIN2	0	0	1	0	1	0	0	0
POU2AF1	0	0	0	0	0	0	0	1
PPM1G	0	1	0	0	0	0	1	0
PPP1R7	0	0	0	0	0	0	1	0
PPP2R2D	0	1	0	0	0	0	0	0
PPP2R5A	0	0	0	0	0	0	1	0
PPP2R5C	0	1	0	0	0	0	0	0
PPP4R3A	0	0	0	0	0	0	1	0
PPP6R2	0	0	0	0	0	0	1	0
PRDM1	0	0	0	0	0	0	0	1
PRF1	0	0	0	0	0	0	1	0
PRKACB	0	0	0	0	0	0	1	0
PRPF4B	0	1	0	0	0	0	1	0
PRPF8	0	0	0	0	0	0	1	0
PSAP	0	0	0	1	0	0	0	0
PSMC3	0	0	0	0	0	0	1	0
PSMC5	0	0	0	0	0	0	1	0
PSPC1	0	1	0	0	0	0	0	0
PTCRA	0	0	1	0	1	0	0	0
PTGER4	1	0	0	0	0	0	1	0
PTMA	0	0	0	1	0	0	1	0
PTPN7	0	0	0	0	0	0	1	0
PTPRC	0	1	0	0	0	0	0	0
PVT1	0	0	1	0	1	0	0	0
PYCARD	0	0	0	1	0	0	0	0
PYHIN1	0	0	0	0	0	0	1	0
RAB6A	0	0	0	0	0	0	1	0
RACK1	0	0	0	1	0	0	0	0
RAD21	0	0	0	0	0	0	1	0
RALGPS2	0	0	1	0	0	0	0	0
RASAL3	0	1	0	0	0	0	0	0
RASSF5	0	1	0	0	0	0	0	0
RBBP4	0	0	0	0	0	0	1	0
RBL2	0	0	0	0	0	0	1	0
RBM22	0	1	0	0	0	0	0	0
RBM47	0	0	0	1	0	0	0	0
RBMX	0	1	0	0	0	0	0	0
RCAN3	1	1	0	0	0	0	1	0
RECQL	0	0	0	0	0	0	1	0
REST	0	0	0	0	0	0	1	0
RGS3	0	0	0	0	0	0	1	0
RNASE2	0	0	0	1	0	0	1	0
RNASEH1	0	0	0	0	0	0	1	0
RNF125	0	1	0	0	0	0	0	0
RNF216	0	1	0	0	0	0	0	0
RNMT	0	1	0	0	0	0	0	0
RNPS1	0	0	0	0	0	0	1	0
RP11.1143G9.4	0	0	0	1	0	0	0	0
RP11.326K13.5	0	0	0	0	0	0	1	0
RP11.363K21.1	0	0	0	1	0	0	0	0
RP11.474P2.5	0	0	0	0	0	0	1	0
RP11.480C16.1	0	0	0	0	0	0	0	1
RPL11	0	0	1	0	0	0	0	0
RPL13A	0	0	1	0	0	0	0	0
RPL14	0	1	0	0	0	0	0	0
RPL15	0	0	0	1	0	0	0	0
RPL18	0	0	0	1	0	0	0	0
RPL22	1	0	0	0	0	0	0	0
RPL23	0	0	0	1	0	0	0	0
RPL27A	1	0	0	0	0	0	0	0
RPL36	0	0	0	1	0	0	0	0
RPL36AL	1	0	0	0	0	0	0	0
RPS23	0	1	0	0	0	0	0	0
RPS3A	1	0	0	0	0	0	0	0
RPS6	0	1	0	0	0	0	0	0
RPS6KA1	0	0	0	0	0	0	1	0
RPS7	0	0	0	1	0	0	0	0
RPS9	0	0	0	1	0	0	0	0
RRBP1	0	0	0	0	0	0	0	1
RRN3P1	0	1	0	0	0	0	0	0
RTKN2	1	0	0	0	0	0	0	0
RUNX3	0	0	1	0	1	0	0	0
RWDD1	0	0	0	0	0	0	1	0
S100A10	0	0	0	1	0	0	0	0
S100A11	0	0	0	1	0	0	0	0
S100A12	0	0	0	1	0	1	1	0
S100A8	0	0	0	1	0	0	0	0
S100A9	0	0	0	0	0	1	0	0
S100B	1	1	0	0	0	0	0	0
S100P	0	0	0	0	0	1	0	0
S100PBP	0	0	0	0	0	0	1	0
SAMD3	1	1	0	0	0	0	0	0
SAMHD1	0	0	0	1	0	0	0	0
SAP30	0	0	0	1	0	0	0	0
SCIMP	0	0	1	0	1	0	0	0
SCML4	0	1	0	0	0	0	0	0
SCRN1	0	0	1	0	1	0	0	0
SDF4	0	0	0	0	0	0	1	0
SEC11C	0	1	0	0	0	0	0	0
SEPTIN6	0	0	0	0	0	0	1	0
SESN1	0	0	1	0	1	0	0	0
SETD2	0	1	0	0	0	0	0	0
SFPQ	0	0	0	0	0	0	1	0
SH2D1B	0	0	0	0	0	0	1	0
SIGLEC6	0	0	1	0	1	0	0	0
SLAIN2	0	0	0	0	0	0	1	0
SLC16A6	0	0	0	1	0	0	0	0
SLC1A3	0	0	0	1	0	0	0	0
SLC25A36	0	1	0	0	0	0	0	0
SLC25A5	0	0	0	1	0	0	0	0
SLC38A1	0	0	0	0	0	0	1	0
SLFN5	0	0	0	0	0	0	1	0
SLTM	0	1	0	0	0	0	1	0
SMARCD1	0	0	0	0	0	0	1	0
SMC5	0	0	0	0	0	0	1	0
SMKR1	0	0	0	0	0	0	1	0
SNCA	0	0	0	0	0	0	1	0
SNHG6	0	1	0	0	0	0	0	0
SNHG8	1	0	0	0	0	0	0	0
SNRPB	0	1	0	0	0	0	0	0
SNRPD2	0	0	0	0	0	0	1	0
SNRPD3	0	0	0	0	0	0	1	0
SPATA13_ENSG00000182957	0	0	0	0	0	0	1	0
SPATS2	0	0	0	0	0	0	0	1
SPCS3	0	0	0	0	0	0	1	0
SPI1	0	0	0	1	0	0	0	0
SPIB	0	0	1	0	0	0	0	0
SPON2	1	1	0	0	0	0	1	0
SREK1IP1	0	1	0	0	0	0	0	0
SRRM1	0	0	0	0	0	0	1	0
SRRM2	0	0	0	0	0	0	1	0
SRSF11	0	0	0	0	0	0	1	0
SRSF4	0	0	0	0	0	0	1	0
SRSF7	0	0	0	0	0	0	1	0
SSH2	0	0	0	0	0	0	1	0
SSPN	0	0	1	0	0	0	0	0
SSR2	0	1	0	0	0	0	0	0
ST14	0	0	0	1	0	0	0	0
ST3GAL5	0	0	1	0	1	0	0	0
STAG1	0	0	0	0	0	0	1	0
STAT4	0	0	0	0	0	0	1	0
STUB1	0	1	0	0	0	0	1	0
SUB1	0	0	0	0	0	0	1	0
SUPV3L1	0	0	0	0	0	0	1	0
SYNE1	1	1	0	0	0	0	0	0
SYNE2	0	0	0	1	0	0	0	0
SYNGR1	1	1	0	0	0	0	0	0
SYTL1	0	1	0	0	0	0	0	0
TAF15	0	1	0	0	0	0	1	0
TAF1D	0	0	0	0	0	0	1	0
TAF3	0	1	0	0	0	0	0	0
TAF7	0	0	0	0	0	0	1	0
TAGLN2	0	0	0	1	0	0	0	0
TAPBP	0	1	0	0	0	0	0	0
TARS3	0	1	0	0	0	0	0	0
TBC1D10C	0	0	0	0	0	0	1	0
TBC1D27P	0	0	1	0	1	0	0	0
TBX21	0	0	0	1	0	0	0	0
TC2N	0	1	0	0	0	0	0	0
TCF7	1	0	0	0	0	0	0	0
TCL1A	0	0	1	0	1	0	0	0
TCN2	0	0	0	1	0	0	0	0
TES	0	0	0	0	0	0	1	0
TET2	0	0	0	0	0	0	1	0
TFEC	0	0	0	1	0	0	0	0
TFRC	0	0	1	0	1	0	0	0
TGFBI	0	0	0	1	0	0	0	0
TGOLN2	0	0	0	0	0	0	1	0
THEMIS	0	1	0	0	0	0	1	0
THEMIS2	0	0	0	0	0	0	1	0
THRAP3	0	0	0	0	0	0	1	0
TIMP2	0	0	0	1	0	0	0	0
TKT	0	0	0	1	0	0	0	0
TLN1	0	0	0	0	0	0	1	0
TLR10	0	0	1	0	0	0	0	0
TLR4	0	0	0	1	0	0	0	0
TMA7	0	0	0	0	0	0	1	0
TMED4	0	1	0	0	0	0	0	0
TMEM123	0	0	0	1	0	0	0	0
TMEM181	0	0	0	0	0	0	1	0
TNFRSF13B	0	0	1	0	0	0	0	0
TNFRSF13C	0	0	1	0	0	0	0	0
TNFRSF17	0	0	0	0	0	0	0	1
TNKS2	0	0	0	0	0	0	1	0
TOX	0	0	0	0	0	0	1	0
TPD52	0	0	0	0	0	0	0	1
TPP2	0	1	0	0	0	0	0	0
TPST2	0	0	0	0	0	0	1	0
TRABD2A	0	1	0	0	0	0	1	0
TRAC	1	1	0	0	0	0	1	0
TRANK1	0	0	0	0	0	0	1	0
TRAT1	1	1	0	0	0	0	1	0
TRBC2	0	0	0	1	0	0	0	0
TRDC	0	0	0	0	0	0	1	0
TRMT10C	0	1	0	0	0	0	0	0
TSHR	0	0	0	0	0	0	0	1
TSHZ2	1	1	0	0	0	0	0	0
TSPAN32	0	0	0	0	0	0	1	0
TSPO	0	0	0	1	0	0	0	0
TSR3	0	0	0	0	0	0	1	0
TTC39C	1	0	0	0	0	0	0	0
TXK	0	0	0	1	0	0	0	0
TXN	0	0	0	1	0	0	0	0
TXNDC5	0	0	0	0	0	0	0	1
TXNIP	0	0	0	0	0	0	1	0
TYROBP	0	0	0	1	0	0	0	0
U2SURP	0	0	0	0	0	0	1	0
UBAC2	1	0	0	0	0	0	0	0
UBE2D1	0	0	0	1	0	0	0	0
UBE2L3	0	0	0	0	0	0	1	0
UBE2V2	0	0	0	0	0	0	1	0
UBXN1	0	1	0	0	0	0	0	0
UFM1	0	0	0	0	0	0	1	0
UHRF2	0	1	0	0	0	0	1	0
USP28	0	0	0	0	0	0	1	0
VAMP8	0	0	0	1	0	0	0	0
VCAN	0	0	0	1	0	1	0	0
VPREB3	0	1	0	0	0	0	0	0
VPS4A	0	0	0	0	0	0	1	0
WDFY4	0	1	0	0	0	0	0	0
WWC3	0	0	1	0	1	0	0	0
XCL1	0	1	0	0	0	0	0	0
XRRA1	0	0	1	0	1	0	0	0
YBX3	0	0	1	0	1	0	0	0
YPEL1	0	0	0	1	0	0	0	0
YTHDC1	0	0	0	0	0	0	1	0
YWHAH	0	0	0	1	0	0	0	0
ZAP70	0	0	0	0	0	0	1	0
ZBTB1	0	0	0	0	0	0	1	0
ZEB2	0	1	0	1	0	0	0	0
ZFAS1	0	0	0	1	0	0	0	0
ZFHX3	0	0	0	1	0	0	0	0
ZFX	0	1	0	0	0	0	0	0
ZNF33A	0	0	0	0	0	0	1	0
ZNF490	0	0	1	0	1	0	0	0
ZNF83	0	0	0	0	0	0	1	0
ZYX	0	0	0	1	0	0	0	0
ZZEF1	0	0	0	0	0	0	1	0
